Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Thiébat, F.; Masoero, A.; Morselli, F.; Fregonara, E.; Senatore, C.; Muñoz Veloza, M.A.; Giordano, R.","Thiébat, Francesca (57188714085); Masoero, Alice (60256964100); Morselli, Fiamma (60041979100); Fregonara, Elena (6504273149); Senatore, Chiara (60334718000); Muñoz Veloza, Mónica Alexandra (57787139800); Giordano, Roberto (57188723765)",57188714085; 60256964100; 60041979100; 6504273149; 60334718000; 57787139800; 57188723765,"NATURAL FIBRES AND CIRCULARITY IN ARCHITECTURE Environmental, economic, and social sustainability; FIBRE NATURALI E CIRCOLARITÀ IN ARCHITETTURA Sostenibilità ambientale, economica e sociale",2025,"Agathon - International Journal of Architecture, Art and Design",18,,,316,331,1,10.69143/2464-9309/18192025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027573187&doi=10.69143%2F2464-9309%2F18192025&partnerID=40&md5=10f1f6f8f574145f39bda3bbc41cf1a9,"Plant-based fibres demonstrate substantial potential for integration within the construction sector in both national and international contexts. The use of bio-based materials aligns with the Sustainable Development Goals (SDGs) of the 2030 Agenda, influencing water consumption, embodied energy and carbon, and the establishment of sustainable supply chains. This systematic review investigates the relationship between two strategic economic sectors, agriculture and construction, with the aim of identifying their respective opportunities and constraints in advancing sustainability objectives. The findings reveal that the environmental sustainability of natural fibres in construction is extensively addressed in the existing literature. Yet, they also highlight the need to strengthen the integration of life-cycle assessment tools. Such integration is essential to balancing environmental quality, social responsibility, and economic performance, thereby supporting a production model consistent with the principles of SDG 8. © 2025, LetteraVentidue Edizioni S.r.l.. All rights reserved.",life cycle assessment; life cycle costing; natural fibres; social life cycle assessment; sustainable architecture,,Article,Final,,Scopus,2-s2.0-105027573187
"Ogwueleka, A.C.","Ogwueleka, Amaka Chinweude (55953548400)",55953548400,Supply Chain Integration in Public Sector Construction Projects: Adoption and Barriers,2025,Construction Economics and Building,25,4-Mar,,272,288,0,10.5130/AJCEB.v25i3/4.9591,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026897798&doi=10.5130%2FAJCEB.v25i3%2F4.9591&partnerID=40&md5=d45e434ad64c967c83a4e27c09ab80ac,"Traditional procurement practices in public sector construction often lead to inefficiencies, cost overruns, and delays due to fragmented collaboration. This study investigated supply chain integration (SCI) adoption and barriers in public sector construction projects in Nigeria’s Southern region, specifically Akwa Ibom and Rivers States. Employing a survey research design, 354 questionnaires were distributed to construction professionals, yielding 272 valid responses (76% response rate), and analyzed using mean item score (MIS) and the Kruskal–Wallis H-test. Findings indicate moderate SCI adoption (MIS = 2.53), with information sharing (MIS = 3.48), customer relationships (MIS = 3.46), leadership management (MIS = 3.25), long-term networking (MIS = 3.14), and just-intime delivery (MIS = 2.80) as top practices. Key barriers included low innovation (MIS = 4.02), late material delivery (MIS = 3.99), lack of top management support (MIS = 3.89), poor stakeholder attitudes (MIS = 3.83), and inadequate resources (MIS = 3.75). Grounded in institutional theory, transaction cost economics, and stakeholder theory, this study provides empirical evidence from a developing context, offering actionable insights for policymakers and practitioners to enhance project efficiency and sustainability through training, logistics improvements, and leadership commitment. Limitations include the regional focus, suggesting future research on digital tools and broader geographic contexts. © 2025 by the author(s).",Adoption; Barriers; Construction Projects; Public Sector; Supply Chain Integration,,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105026897798
"Lu, Y.; Nong, Y.; Zhu, D.; Wang, S.","Lu, Yujie (55506512700); Nong, Yuanjun (57226897911); Zhu, Dayu (35090572500); Wang, Shuo (59448826900)",55506512700; 57226897911; 35090572500; 59448826900,Enhancing rotation you only look once version 8 for accurate detection of arbitrarily-oriented and multi-scale construction material in complex environment,2025,Engineering Applications of Artificial Intelligence,161,,112176,,,0,10.1016/j.engappai.2025.112176,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015304946&doi=10.1016%2Fj.engappai.2025.112176&partnerID=40&md5=115ad79565ed1d58e721c77c72f885bb,"Construction material detection is integral to effective material management. While deep learning-based methods have advanced automatic detection, challenges such as arbitrarily oriented objects, similar features, large object scale variations, and noise interference still limit accuracy. This study proposes an enhanced detection method based on improved rotation you only look once version 8, incorporating three key innovations. First, the large selective kernel network employs a spatial selection mechanism to dynamically adjust the network's receptive field, capturing key features and contextual information of various materials in complex construction scenarios. This enhances object detection performance in feature-similar environments. Second, the poly kernel inception network combines non-dilated multi-scale convolutions to extract dense texture features from differently sized objects, while using contextual anchor attention to capture long-range information for small objects. These components work together to improve multi-scale object detection. Third, the rectangular self-calibration module uses horizontal and vertical pooling to model rectangular attention regions, capturing axial global context. Its shape self-calibration function adjusts these regions to better fit arbitrarily oriented construction materials, enhancing focus on objects while suppressing noise interference. Experimental results show a mean average precision of 0.871–2.7 % higher than the baseline model and surpassing other state-of-the-art methods—while maintaining real-time detection speed at 28.3 frames per second. The proposed method improves material detection accuracy in complex construction environments, enabling refined material management on-site. This supports material entry and exit tracking, on-site usage monitoring, inventory management, and procurement planning, while also strengthening lean control of construction progress and costs. © 2025 Elsevier Ltd",Computer vision; Construction materials detection; Deep learning; Large selective kernel network; Poly kernel inception network; Rectangular self-calibration module,Building materials; Calibration; Complex networks; Feature extraction; Inventory control; Learning systems; Object detection; Object recognition; Signal detection; Textures; Construction material detection; Deep learning; Large selective kernel network; Material detection; Materials management; Multi-scales; Noise interference; Poly kernel inception network; Rectangular self-calibration module; Self calibration,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105015304946
"Zvirgzdins, J.; Weerakoon, T.G.; Geipele, I.; Senaratna, K.","Zvirgzdins, Janis (57215093539); Weerakoon, Thilina Ganganath (59998240200); Geipele, Ineta (54406913200); Senaratna, Keshmin (59998398700)",57215093539; 59998240200; 54406913200; 59998398700,A Comparative Analysis of Machine Learning Model Utilization for the Optimization of Supplier Reliability Towards Sustainable Construction,2025,"Engineering, Technology and Applied Science Research",15,6,,29907,29913,0,10.48084/etasr.12724,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027293412&doi=10.48084%2Fetasr.12724&partnerID=40&md5=17d28de4053b377e376bd1d437fe7b78,"The success of a construction project is significantly influenced by the reliability of its material suppliers, particularly when operational efficiency and sustainability factors are considered. Traditionally, project managers have relied on conventional scorecards and heuristic decision-making methods, which are often subjective and limited in scope. To provide a more objective and data-driven approach, this study introduces a Machine Learning (ML)-based pipeline for evaluating supplier reliability. Four ML algorithms, Random Forest (RF), Extreme Gradient Boosting (XGBoost), Support Vector Machine (SVM), and K-Nearest Neighbors (KNN), were assessed, while Shapley Additive Explanations (SHAP) were employed to interpret model outputs and identify the supplier characteristics most influential to each algorithm. Additionally, a proprietary Sustainability Score (SS) was integrated to account for the sustainability aspect provided by each supplier. The dataset used consisted of 105 records from five major suppliers involved in two large-scale residential construction projects in Sri Lanka, incorporating key features such as waste generation, lead time, material cost, and delivery accuracy. Among the evaluated models, XGBoost demonstrated the best performance, achieving an F1-score of 0.89 and an Area Under the Curve (AUC) of 0.97, followed by RF. Notably, the SS analysis revealed that some medium-reliability suppliers achieved higher sustainability scores than high-reliability ones, highlighting the importance of multi-criteria evaluation frameworks that balance operational reliability with environmental responsibility in supplier selection. By facilitating precise, open, and ecologically responsible supplier evaluations, this integrated ML framework aids in sustainable procurement decisions for construction projects. Licensed under a CC-BY 4.0 license | Copyright (c) by the authors | DOI: https://doi.org/10.48084/etasr.12724",artificial intelligence; machine learning; supply chain management; sustainable construction,,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105027293412
"Firmansyah; Arifuddin, R.; Burhanuddin, S.","Firmansyah (60301726800); Arifuddin, Rosmariani (57193517269); Burhanuddin, Syarif (56568157300)",60301726800; 57193517269; 56568157300,Analysis of Policy Barriers to the Implementation of Local Content Requirement in Construction Projects in Indonesia,2025,"Engineering, Technology and Applied Science Research",15,6,,29491,29501,0,10.48084/etasr.15146,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026879008&doi=10.48084%2Fetasr.15146&partnerID=40&md5=746617b0f572a5434f499d11d41b8f1a,"This study assesses the application of Local Content Requirement (LCR) in building construction projects, analyzes the contribution of LCR components (materials, labor, and equipment) to the total LCR value using regression analysis, and identifies obstacles in carrying out the policy. The research focuses on building construction projects, utilizing processed data sourced from 24 building construction project documents from 2022 to 2024. The results show a level of commitment and realization, with an average achievement of 64.67%. This LCR value exceeds the minimum regulatory requirement of 40%, indicating compliance with government standards. However, it is still below the aspirational target of 100% LCR, suggesting significant potential for increasing the proportion of fully local components. Although there were fluctuations, the LCR achievement ratio has shown a consistent upward trend. Furthermore, regression analysis demonstrates that the LCR value of materials has a significant positive effect on the total LCR value, whereas the LCR values of labor and equipment have negative effects that are not statistically significant. This negative relationship does not indicate reduced local utilization but rather reflects the smaller financial proportion of local labor and equipment compared to material costs, which dominate total project expenditures. Meanwhile, the results of the Relative Importance Index (RII) analysis show that significant factors hindering the implementation of LCR include: (i) dependence on a single LCR-certified vendor, which increases procurement costs (RII = 0.829); (ii) delays in budget disbursement from the client, which affect the procurement schedule (RII = 0.826); and (iii) locally manufactured heavy equipment that meets LCR requirements but is difficult to obtain (RII = 0.774). The research findings indicate that policy interventions should prioritize strengthening the domestic supply ecosystem, diversifying vendors, streamlining procedures, and fostering partnerships between public agencies and local manufacturers to enhance the sustainability and effectiveness of LCR implementation in Indonesia's construction sector. © (2025), (Engineering). All rights reserved.",building; construction projects; Indonesia,,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105026879008
"Osei-Tutu, S.; Ayarkwa, J.; Nani, G.; Osei-Asibey, D.; Abu, I.M.A.","Osei-Tutu, Safowaa (57842554000); Ayarkwa, Joshua (57193715124); Nani, Gabriel (55693518300); Osei-Asibey, Dickson (55178475700); Abu, Ivy Maame Adwoa (58763175100)",57842554000; 57193715124; 55693518300; 55178475700; 58763175100,Stakeholders’ role towards circular economy implementation: a scientometric review,2025,Construction Innovation,25,6,,,,6,10.1108/CI-02-2023-0032,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184427847&doi=10.1108%2FCI-02-2023-0032&partnerID=40&md5=0502e44a3e7df07dafe0f569e8a0c307,"Purpose This study aims to identify in literature the role of construction stakeholders in the implementation of circular economy (CE) in the construction industry (CI). This study also sought to identify the status quo and research trend, “hot themes”, areas requiring more research and future research direction of stakeholders’ role in CE implementation in the CI. Design/methodology/approach A literature search was conducted using the Scopus search engine, augmented by Google Scholar to produce 50 relevant articles for the identification of stakeholders’ roles using content analysis. The scientometric study was undertaken using VOSviewer on 42 articles obtained from Scopus search to identify the status quo, “hot themes”, knowledge gaps and future research direction of the role of stakeholders in CE implementation. Findings Through content analysis, the identified roles of government as a stakeholder are to develop efficient policy instruments, legislation support and financial investment in research and development activities that will promote the smooth implementation of CE. The role of academia/research is to engage in research aimed at investigating both the short-term behaviour and the durability of recycled materials and products. In addition, the roles of professionals in the consultant/design/procurement team are to design with life cycle assessment and reused materials, design for deconstruction and disassembly, etc. The role of the user/consumer is to ensure knowledge diffusion and awareness exchange that recognize the available opportunities for long-term material usage (including repair, reuse, refurbishment and recycling). The research status quo identified from the scientometric analysis include how stakeholders can come up with innovative ways in demolition that will ensure that more of the materials can be reused. Stakeholders should focus on enacting policies and laws that can promote the use of recycled materials in buildings, etc. Research that focuses on how to engage the various construction stakeholders to come up with specific public policy that will promote CE implementation, identifying the specific roles to be played by stakeholders during policy enactment as well as managing the environment, laws and legislations towards CE implementation. The role of stakeholders in the extension of the life span of projects, the use of strategies to minimize waste generation and standardization of building materials, components and connectors with the purpose of simplifying disassembly are the research gaps and areas for future research studies. Some of the research “hot themes” include “circular business models in the CI”, “environmental sustainability policy implementation”, “environmental, economic and social sustainability”, “policy, laws and legislations on waste management” and “environmental and industrial economics” towards CE implementation. Practical implications The findings from this study serve as a valuable reference for construction stakeholders to assess their specific roles as stakeholders and to identify the status quo and research trend, “hot themes”, areas requiring more research and future research directions on stakeholders’ roles in CE implementation in the CI. Originality/value Identifying the role of stakeholders for CE implementation is one bold step towards the achievement of CE implementation in the CI. © 2024 Emerald Publishing Limited",Built environment; Circular economy (CE); Construction industry; Construction professionals; Policymaker; Roles; Stakeholders,Construction; Environmental regulations; Knowledge management; Life cycle; Public policy; Recycling; Search engines; Built environment; Circular economy; Construction professionals; Construction stakeholders; Future research directions; Policy makers; Role; Stakeholder; Status quo; Construction industry,Article,Final,,Scopus,2-s2.0-85184427847
"Wang, C.-H.; Chen, C.-H.; Chen, C.-C.; Hsieh, H.-H.","Wang, Chinghsin (57195608742); Chen, Chihhan (58983692900); Chen, Chihcheng (57757349100); Hsieh, Hsihuang (58983530400)",57195608742; 58983692900; 57757349100; 58983530400,Decarbonization of remanufacturing processes in circular supply chains: case study on rubber recycling industry,2025,Industrial Management and Data Systems,125,10,,2753,2776,3,10.1108/IMDS-04-2024-0397,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216383973&doi=10.1108%2FIMDS-04-2024-0397&partnerID=40&md5=a78bfc4be6c6fec6b2d2a3b7cd529e7d,"Purpose – At present, relevant studies on circular supply chains are gradually increasing. However, the majority only focus on precautions or obstacles in the implementation of supply chains, rather than delving deeper into the decarbonization of processes within circular supply chains. Therefore, this study took the rubber recycling industry as an example, highlighting the decarbonization of the manufacturing process for remanufactured products in this industry. Subsequently, a feasible framework for future practice was established, serving as a valuable reference for companies in the industry. Design/methodology/approach – This study first selected key factors from the initial aspects and criteria using the fuzzy Delphi method (FDM), followed by ranking the importance of the selected aspects and criteria using fuzzy decision-making trail and evaluating laboratory (FDEMATEL). Findings – This study has confirmed which directions the manufacturing processes of remanufactured products need to move toward so as to achieve the goal of decarbonization when implementing circular supply chains. The main aspects include environmental, social and economic benefits as well as value recovery. In addition, the main directions for implementing circular supply chains in the industry are cooperating with different supply chain partners, having effective reverse logistics systems, collaborating with multiple companies, optimizing technology and developing the industrial symbiosis network. Research limitations/implications – Research results vary due to industry differences. Although the results of this study can be used for reference in other high-pollution industries, they are unable to be perfectly in line with their current states. Therefore, more in-depth research is needed in the aspect of decarbonization for other industries. Originality/value – The rubber recycling industry chosen by this study is different from general industries since its raw materials consist predominantly of waste. Therefore, it is an imperative trend to perform decarbonization in circular supply chains. This study establishes a novel framework to provide industry players and their stakeholders with clearer and more targeted implementation objectives for reference. © 2024 Emerald Publishing Limited",Circular supply chain; Industry decarbonization; Reduction of carbon emissions; Rubber recycling industry; Value recovery,Concrete construction; Emotional intelligence; Recycling; Rubber products; Supply chains; % reductions; Carbon emissions; Circular supply chain; Decarbonisation; Industry decarbonization; Recycling industry; Reduction of carbon emission; Rubber recycling; Rubber recycling industry; Value recovery; Rubber industry,Article,Final,,Scopus,2-s2.0-85216383973
"Singh, N.; Dixit, A.; Ashish, D.K.","Singh, Navdeep (57713891800); Dixit, Anuj (56872473900); Ashish, Deepankar Kumar (57204350013)",57713891800; 56872473900; 57204350013,Modelling of critical success factors to improve the supply chain resilience for sustainable construction sector,2025,Smart and Sustainable Built Environment,14,6,,1846,1878,3,10.1108/SASBE-11-2023-0328,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208921480&doi=10.1108%2FSASBE-11-2023-0328&partnerID=40&md5=a5bb4ca6d980759f3485354455372db4,"Purpose – The construction industry has an intricate and constantly evolving supply chain (SC) that includes multiple stakeholders and processes. Enhancing SC resilience (SCR) is essential for promoting industry expansion and competitiveness. The SCR has attracted considerable interest because of the increasing worldwide challenges and threats facing SCs. This study introduces a conceptual framework for recognizing and classifying resilient supply chains’ critical success factors (CSFs) in sustainable construction. Design/methodology/approach – This research employs a sequential mixed-methods approach, combining qualitative and quantitative analyses. Initially, an extensive literature review and expert consultations were conducted to identify potential CSFs. The fuzzy decision-making trial and evaluation laboratory (DEMATEL) method was then applied to classify these CSFs into cause-and-effect groups. To further analyse the interrelationships among the CSFs, interpretive structural modelling (ISM) was utilised, establishing a hierarchical framework. This integrated methodology provides a comprehensive understanding of the CSFs’ relative importance and their driving and dependence power, facilitating targeted interventions for enhancing supply chain resilience in the construction sector. Findings – This integrated methodology establishes a hierarchical ranking of CSFs across five levels by revealing their causal interrelationships. The study addresses crucial SCR issues and provides actionable insights. The 17 finalized CSFs have 12 causal and five effect factors. The “safety measures and guidelines” have the highest driving potential, whereas the “availability of standardized materials/equipment” and “skilled human resources” depend highly on causal CSFs. The findings will offer a detailed perspective to narrow the gap between unsustainability and sustainability by enhancing the resilience of CSC. Practical implications – It offers a pragmatic framework for allocating resources and efforts to enhance the resilience of construction supply chains (CSCs). Policymakers can also use this study to create a more resilient SC for sustainable construction. Originality/value – This study uniquely identifies and evaluates CSFs for SCR in the construction industry, providing a novel analysis of their driving power, dependence power and ranking. No previous studies have demonstrated such a comprehensive evaluation. © 2024 Emerald Publishing Limited",Critical success factors; Fuzzy-DEMATEL; ISM; Supply chain resilience; Sustainable construction,Supply chains; Construction sectors; Critical success factor; Fuzzy Decision making; Fuzzy-decision-making trial and evaluation laboratory; Integrated methodology; Interpretive structural models; Power; Success factors; Supply chain resiliences; Sustainable construction; Construction industry; conceptual framework; construction industry; modeling; supply chain management,Article,Final,,Scopus,2-s2.0-85208921480
"Demeke, C.S.","Demeke, Chekole Sete (60372509400)",60372509400,"Critical success factors and the integration of intelligent construction technologies in road projects: Evidence from Dessie, Ethiopia",2025,Journal of Intelligent Construction,3,4,9180106,,,0,10.26599/JIC.2025.9180106,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029462563&doi=10.26599%2FJIC.2025.9180106&partnerID=40&md5=f0fdc7925aa2f265d5b7f7a0f1d705c6,"Road infrastructure is vital to Ethiopia’s economic growth and regional integration, yet it faces persistent challenges such as resource limitations, stakeholder misalignment, and weak risk management. This study investigates the critical success factors (CSFs) affecting road construction performance in Dessie, Ethiopia, and explores the role of intelligent construction (IC) technologies in addressing these issues. A mixed-methods approach was adopted, beginning with qualitative interviews of 10 industry professionals, followed by a survey of 135 engineers, managers, and policymakers. Twenty-six CSFs were identified and grouped into six domains: resource, stakeholder, communication, risk, budget, and time management. Quantitative analysis using the relative importance index (RII) and reliability testing (? = 0.885) revealed the material quality, stakeholder trust, and timely procurement as the most influential factors. A hybrid project framework is proposed, integrating traditional methods with IC tools such as building information modeling (BIM), artificial intelligence (AI)driven risk forecasting, and drone-assisted monitoring. The findings show that IC integration enhances planning accuracy, stakeholder coordination, and project resilience. This study presents a practical, adaptable model for improving construction performance in emerging economies and supports data-driven strategies aligned with local conditions. The results aim to inform policymakers, contractors, and planners working toward sustainable and technology-driven infrastructure development in Ethiopia. © The Author(s) 2025.",BIM; critical success factors; developing countries; Ethiopia; intelligent construction; road infrastructure,,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105029462563
"Gong, K.; Wei, S.; Zhang, X.; Liu, W.","Gong, Kejian (58896326200); Wei, Shixiong (57207985443); Zhang, Xinyun (60346819900); Liu, Wei (57835017600)",58896326200; 57207985443; 60346819900; 57835017600,"Synthetic and Tissue-Engineered Vascular Grafts: Current Status, Emerging Technologies, and Clinical Prospects",2025,Reviews in Cardiovascular Medicine,26,12,45083,,,0,10.31083/RCM45083,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028269314&doi=10.31083%2FRCM45083&partnerID=40&md5=7d731bf498b06221dc279072d6c9b96c,"Cardiovascular diseases (CVDs) are the leading cause of morbidity and mortality worldwide, creating an urgent demand for smalldiameter vascular substitutes with durable long-term patency. Large-caliber synthetic grafts, such as polyethylene terephthalate (PET) and ePTFE, are well established in clinical practice; however, these synthetic grafts fail in small-diameter applications due to thrombosis and intimal hyperplasia. Moreover, autologous grafts are constrained by limited availability and variable quality. Recently, synthetic degradable polymers (e.g., polycaprolactone (PCL), poly(lactic-co-glycolic acid) (PLGA)), and extracellular matrix-derived natural materials (collagen, gelatin, silk fibroin, bacterial cellulose) have drawn increasing attention, as each offers distinct advantages and limitations in terms of mechanics, biocompatibility, and degradation behavior. Meanwhile, emerging fabrication technologies, including electrospinning, thermally induced phase separation, microfluidic spinning, and three-dimensional printing, are advancing the structural biomimicry and functional optimization of artificial vascular grafts. Thus, building on these developments, this review further examines the design strategies of tissue-engineered vascular grafts (TEVGs), focusing on cell sourcing, in vitro and in situ endothelialization, antithrombotic modification, and the prevention of intimal hyperplasia, while also summarizing outcomes from preclinical models and early clinical trials. Despite promising progress, the widespread clinical translation of TEVGs remains limited by prolonged manufacturing cycles, high costs, and insufficient long-term patency. Hence, future efforts toward standardized cell sources, integrated structure, function design, and multicenter clinical validation are critical to the development of next-generation vascular grafts. © 2025 The Author(s).",artificial blood vessels; fabrication methods; material selection; tissue-engineered vascular grafts,cellulose; collagen; gelatin; silk fibroin; Article; cell function; decellularization; endothelialization; endothelium cell; fibroblast; human; induced pluripotent stem cell; microfluidics; nonhuman; phase separation; smooth muscle cell; technology; three dimensional printing,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105028269314
